Administrative_District,National_Schools,Provincial_Schools,Total_Schools
COLOMBO,39,357,396
GAMPAHA,15,520,535
KALUTARA,20,397,417
KANDY,36,614,650
MATALE,12,300,312
NUWARA ELIYA,8,541,549
GALLE,23,305,328
MATARA,23,335,358
HAMBANTOTA,7,313,320
JAFFNA,8,439,447
MANNAR,5,126,131
VAVUNIYA,5,166,171
MULLAITIVU,3,144,147
KILINOCHCHI,3,101,104
BATTICALOA,13,352,365
AMPARA,12,426,438
TRINCOMALEE,12,303,315
KURUNEGALA,31,840,871
PUTTALAM,8,364,372
ANURADHAPURA,7,597,604
POLONNARUWA,9,243,252
BADULLA,7,604,611
MONERAGALA,11,280,291
RATNAPURA,16,578,594
KEGALLE,15,501,516
